fsa,electric,hev_sedan,hev_suv,ice_sedan,ice_suv,ice_van/pickup
G6S,0.0114086233187639,0.0193595250667784,0.0104511112550134,0.4629105400792862,0.4194909643359495,0.0763792359442082
G6T,0.0115163506579981,0.0158687709316337,0.0075594726510873,0.4516347280408284,0.4311112220555206,0.0823094556629316
G6V,0.0107388426377955,0.0137936204667138,0.0099280745898059,0.4980361305208552,0.4156060679586272,0.0518972638262022
G6W,0.0082243307694824,0.0110332222008839,0.0095237189361494,0.4771374268022081,0.4395134650265657,0.0545678362647101
G6X,0.0081055793906942,0.0078968317149413,0.0079419770152001,0.5183233230371352,0.4078924515442885,0.0498398372977406
G6Y,0.0118677859382226,0.0167346140499064,0.0115032037129955,0.4397656006582141,0.4565505447556822,0.0635782508849791
G6Z,0.00883058125759,0.0091726601986629,0.007191815217575,0.4459327875385124,0.4416962046975282,0.0871759510901314
G7A,0.0167445629905188,0.0136134514707134,0.0129820971303044,0.4251287949100786,0.4651524086522737,0.0663786848461108
G7B,0.0040322818467318,0.0060635242317019,0.0062657692043823,0.4082285770346052,0.3887121261931676,0.186697721489411
G7C,0.0,0.0,0.5,0.0,0.0,0.5
G7E,0.0888888888888889,0.0888888888888889,0.0888888888888889,0.0555555555555555,0.5888888888888889,0.0888888888888889
G7G,0.0069576362532001,0.0074684500639544,0.0057075515911301,0.420455258666449,0.4143294372034369,0.1450816662218291
G7H,0.007009020104587,0.0104510755008332,0.0105955896249113,0.4263171103769602,0.4364269695677171,0.1092002348249911
G7J,0.0043084927210403,0.0080360261675899,0.0072217505730446,0.436857803462692,0.4154086023933262,0.1281673246823067
G7K,0.0016842345701406,0.0016842345701406,0.0016842345701406,0.4365334006478024,0.3740105053074893,0.1844033903342864
G7M,0.0,0.0,0.0,0.5,0.5,0.0
G7N,0.0104097997477181,0.0093160805276436,0.0094340427298366,0.3617054663083954,0.4111352210968596,0.1979993895895463
G7P,0.0082363737959898,0.0067273713982635,0.0090090010162922,0.3707305744873393,0.3779893259235921,0.2273073533785228
G7S,0.0049987934917205,0.0096477288040378,0.0061028721159597,0.4038204794965333,0.4314545858220138,0.1439755402697347
G7T,0.0088298942184324,0.0070977043362537,0.0084204987109949,0.3772366805369343,0.4736505080585279,0.1247647141388566
G7V,0.0,0.0,0.0,0.7923387096774194,0.0,0.2076612903225806
G7X,0.0061958519112142,0.0085805561396844,0.0060668911315043,0.4386177463568654,0.3879287265380562,0.1526102279226751
G7Y,0.0181079859273655,0.0036854260501884,0.0071834418519359,0.3516290987960023,0.4140271929722709,0.2053668544022368
G7Z,0.0041628369368604,0.0110036954249175,0.0098851316256705,0.3861494135435577,0.4028313998568914,0.1859675226121022
G8A,0.0088104600548876,0.0060926565587345,0.0053283322834725,0.4134127817871926,0.4073252409035263,0.1590305284121862
G8B,0.0061974542792309,0.0089322957242767,0.0072685097927215,0.4147115624671688,0.4059354602212252,0.1569547175153767
G8C,0.0086405726672516,0.007685252821168,0.0077551879893266,0.3742140221667908,0.4419345863165167,0.1597703780389459
G8E,0.0031012020020207,0.0053026787670643,0.0058693339142543,0.3834511482680464,0.3640502440399596,0.2382253930086544
G8G,0.0077335394651412,0.0099054468262447,0.0044292807959972,0.3788360846180742,0.3912801129503861,0.2078155353441565
G8H,0.0034332101322719,0.0070515919509533,0.0062154561925657,0.367867144846175,0.4073432321125947,0.2080893647654391
G8J,0.0024734365031083,0.0044059053398456,0.0058048558483689,0.3399313554857402,0.3818334528116409,0.2655509940112959
G8K,0.0062568416279415,0.0098133532960934,0.0091208494978138,0.355842276967351,0.3785402940243648,0.2404263845864353
G8L,0.0036106136883925,0.0068895949837943,0.0042119281952517,0.3538893722443162,0.3876262031208295,0.2437722877674155
G8M,0.0017354837217911,0.006828591118478,0.0067810054977024,0.3485291052235216,0.3691695618724115,0.2669562525660953
G8N,0.006489382759538,0.0068325056794987,0.0054958081033592,0.385703460438905,0.3853072637584345,0.2101715792602643
G8P,0.0019812337712734,0.0045296882508012,0.0061245237840099,0.2943998043041786,0.4244788587642513,0.2684858911254855
G8R,0.0,0.0,0.0,1.0,0.0,0.0
G8T,0.0073499682916089,0.011230276452324,0.0044309022827657,0.5209543988067364,0.3840908629306904,0.0719435912358743
