,CFSAUID
18407,G0A
18408,G0A
18416,G0A
18430,G0A
18431,G0A
18432,G0A
18481,G0A
18482,G0A
18483,G0A
18513,G0A
18514,G0A
18539,G0A
18540,G0A
18549,G0A
18550,G0A
18551,G0A
18552,G0A
18553,G0A
18562,G0A
18577,G0A
18578,G0A
18579,G0A
18603,G0A
18604,G0A
18628,G0A
18637,G0A
18646,G0A
18693,G0A
18695,G0A
18696,G0A
18697,G0A
18709,G0A
18710,G0A
18829,G0A
18874,G0A
18875,G0A
18910,G0A
18915,G0A
18916,G0A
18926,G0A
18927,G0A
18933,G0A
18940,G0A
18941,G0A
18942,G0A
18966,G0A
18970,G0A
18972,G0A
18973,G0A
19005,G0A
19016,G0A
19017,G0A
19030,G0A
19051,G0A
19121,G0A
19124,G0A
19139,G0A
19140,G0A
19192,G0A
19193,G0A
19199,G0A
19200,G0A
19243,G0A
19295,G0A
19296,G0A
19297,G0A
19298,G0A
19299,G0A
19301,G0A
19303,G0A
19304,G0A
19320,G0A
19321,G0A
19322,G0A
19323,G0A
19324,G0A
19350,G0A
19351,G0A
19398,G0A
19399,G0A
19400,G0A
19468,G0A
19493,G0A
19494,G0A
19496,G0A
19497,G0A
19534,G0A
19535,G0A
19542,G0A
19543,G0A
19544,G0A
19545,G0A
19546,G0A
19557,G0A
19654,G0A
19667,G0A
19672,G0A
19673,G0A
19705,G0A
19708,G0A
19709,G0A
19772,G0A
19773,G0A
19779,G0A
19780,G0A
19786,G0A
19818,G0A
19819,G0A
19841,G0A
19842,G0A
19917,G0A
19965,G0A
19966,G0A
19980,G0A
19988,G0A
20022,G0A
20023,G0A
20086,G0A
20205,G0A
20206,G0A
20207,G0A
20208,G0A
20211,G0A
20212,G0A
20225,G0A
20226,G0A
20241,G0A
20260,G0A
20284,G0A
20285,G0A
20291,G0A
20292,G0A
20338,G0A
20364,G0A
20365,G0A
20380,G0A
20381,G0A
20382,G0A
20383,G0A
20384,G0A
20395,G0A
20396,G0A
20397,G0A
20398,G0A
20399,G0A
20448,G0A
20450,G0A
20481,G0A
20483,G0A
20533,G0A
20653,G0A
20654,G0A
20672,G0A
20677,G0A
20678,G0A
20679,G0A
20684,G0A
20693,G0A
20725,G0A
20726,G0A
20749,G0A
20750,G0A
20751,G0A
20770,G0A
20771,G0A
20778,G0A
20779,G0A
20780,G0A
20781,G0A
20782,G0A
20798,G0A
20805,G0A
20806,G0A
20807,G0A
20963,G0A
20964,G0A
20965,G0A
20966,G0A
20967,G0A
20970,G0A
20975,G0A
20993,G0A
21056,G0A
21057,G0A
21058,G0A
21059,G0A
21060,G0A
21061,G0A
21125,G0A
21138,G0A
21144,G0A
21145,G0A
21147,G0A
21148,G0A
21229,G0A
21304,G0A
21306,G0A
21339,G0A
21346,G0A
21347,G0A
21348,G0A
21352,G0A
21353,G0A
21356,G0A
21382,G0A
21383,G0A
21384,G0A
21430,G0A
21431,G0A
21440,G0A
21448,G0A
21449,G0A
21450,G0A
21451,G0A
21525,G0A
21529,G0A
21563,G0A
21564,G0A
21565,G0A
21604,G0A
21605,G0A
21611,G0A
21641,G0A
21664,G0A
21665,G0A
21666,G0A
21667,G0A
21668,G0A
21684,G0A
21711,G0A
21764,G0A
21765,G0A
21766,G0A
21768,G0A
21795,G0A
21796,G0A
21801,G0A
21814,G0A
21815,G0A
21818,G0A
21824,G0A
21826,G0A
21827,G0A
21836,G0A
21846,G0A
21870,G0A
21905,G0A
21926,G0A
21927,G0A
21928,G0A
21930,G0A
21931,G0A
21932,G0A
21976,G0A
21995,G0A
21996,G0A
21997,G0A
